Wr60,PP50,P15,P50
LOC112045348,LOC112046226,LOC112046487,LOC112046094
LOC112045354,LOC112046292,LOC112046504,LOC112046101
LOC112045384,LOC112046332,LOC112046528,LOC112046122
LOC112045428,LOC112046335,LOC112046576,LOC112046157
LOC112045470,LOC112046415,LOC112046614,LOC112046172
LOC112045475,LOC112046440,LOC112046629,LOC112046173
LOC112045504,LOC112046464,LOC112046661,LOC112046196
LOC112045508,LOC112046466,LOC112046669,LOC112046215
LOC112045528,LOC112046504,LOC112046693,LOC112046230
LOC112045549,LOC112046522,LOC112046705,LOC112046259
LOC112045572,LOC112046526,LOC112046714,LOC112046415
LOC112045580,LOC112046560,LOC112046718,LOC112046440
LOC112045646,LOC112046576,LOC112046720,LOC112046464
LOC112045665,LOC112046577,LOC112046732,LOC112046466
LOC112045682,LOC112046593,LOC112046776,LOC112046468
LOC112045692,LOC112046606,LOC112046777,LOC112046473
LOC112045707,LOC112046614,LOC112046832,LOC112046474
LOC112045800,LOC112046662,LOC112046846,LOC112046477
LOC112045803,LOC112046693,LOC112046876,LOC112046481
LOC112045804,LOC112046714,LOC112046878,LOC112046491
LOC112045809,LOC112046718,LOC112046885,LOC112046502
LOC112045818,LOC112046720,LOC112046886,LOC112046535
LOC112045825,LOC112046732,LOC112046887,LOC112046593
LOC112045861,LOC112046734,LOC112046893,LOC112046614
LOC112045902,LOC112046776,LOC112046965,LOC112046634
LOC112045911,LOC112046777,LOC112046979,LOC112046693
LOC112045942,LOC112046842,LOC112047001,LOC112046700
LOC112045945,LOC112046844,LOC112047044,LOC112046714
LOC112045975,LOC112046874,LOC112047068,LOC112046720
LOC112046036,LOC112046878,LOC112047072,LOC112046735
LOC112046041,LOC112046885,LOC112047227,LOC112046755
LOC112046050,LOC112046886,LOC112047239,LOC112046777
LOC112046083,LOC112046887,LOC112047254,LOC112046784
LOC112046090,LOC112046902,LOC112047260,LOC112046842
LOC112046094,LOC112046929,LOC112047321,LOC112046876
LOC112046108,LOC112046979,LOC112047355,LOC112046886
LOC112046139,LOC112046992,LOC112047356,LOC112046887
LOC112046157,LOC112046993,LOC112047441,LOC112046894
LOC112046161,LOC112047020,LOC112047449,LOC112046897
LOC112046230,LOC112047021,LOC112047462,LOC112046902
LOC112046233,LOC112047033,LOC112047485,LOC112046979
LOC112046236,LOC112047036,LOC112047494,LOC112047017
LOC112046292,LOC112047113,LOC112047533,LOC112047072
LOC112046298,LOC112047120,LOC112047541,LOC112047113
LOC112046339,LOC112047231,LOC112047593,LOC112047119
LOC112046370,LOC112047257,LOC112047618,LOC112047152
LOC112046415,LOC112047258,LOC112047740,LOC112047205
LOC112046459,LOC112047286,LOC112047755,LOC112047254
LOC112046464,LOC112047309,LOC112047770,LOC112047257
LOC112046468,LOC112047321,LOC112047793,LOC112047279
LOC112046504,LOC112047355,LOC112047796,LOC112047321
LOC112046526,LOC112047366,LOC112047808,LOC112047356
LOC112046528,LOC112047383,LOC112047914,LOC112047434
LOC112046572,LOC112047417,LOC112047969,LOC112047449
LOC112046576,LOC112047418,LOC112047984,LOC112047485
LOC112046577,LOC112047434,LOC112048047,LOC112047533
LOC112046593,LOC112047441,LOC112048068,LOC112047571
LOC112046598,LOC112047462,LOC112048087,LOC112047618
LOC112046614,LOC112047476,LOC112048127,LOC112047632
LOC112046636,LOC112047485,LOC112048138,LOC112047686
LOC112046638,LOC112047494,LOC112048140,LOC112047691
LOC112046641,LOC112047508,LOC112048149,LOC112047743
LOC112046662,LOC112047512,LOC112048179,LOC112047767
LOC112046692,LOC112047520,LOC112048189,LOC112047770
LOC112046697,LOC112047533,LOC112048221,LOC112047835
LOC112046714,LOC112047611,LOC112048234,LOC112047849
LOC112046718,LOC112047612,LOC112048240,LOC112047865
LOC112046720,LOC112047618,LOC112048265,LOC112047899
LOC112046721,LOC112047632,LOC112048290,LOC112047909
LOC112046732,LOC112047807,LOC112048366,LOC112047975
LOC112046734,LOC112047808,LOC112048379,LOC112048035
LOC112046755,LOC112047818,LOC112048387,LOC112048046
LOC112046776,LOC112047844,LOC112048434,LOC112048050
LOC112046777,LOC112047876,LOC112048440,LOC112048068
LOC112046796,LOC112047914,LOC112048475,LOC112048131
LOC112046842,LOC112047975,LOC112048480,LOC112048135
LOC112046856,LOC112048035,LOC112048503,LOC112048138
LOC112046859,LOC112048050,LOC112048504,LOC112048149
LOC112046874,LOC112048087,LOC112048517,LOC112048173
LOC112046878,LOC112048127,LOC112048533,LOC112048174
LOC112046886,LOC112048135,LOC112048537,LOC112048179
LOC112046888,LOC112048138,LOC112048544,LOC112048194
LOC112046893,LOC112048155,LOC112048588,LOC112048203
LOC112046894,LOC112048189,LOC112048594,LOC112048262
LOC112046898,LOC112048194,LOC112048610,LOC112048265
LOC112047020,LOC112048202,LOC112048640,LOC112048290
LOC112047021,LOC112048203,LOC112048697,LOC112048291
LOC112047068,LOC112048213,LOC112048821,LOC112048371
LOC112047070,LOC112048265,LOC112048826,LOC112048434
LOC112047072,LOC112048291,LOC112048863,LOC112048480
LOC112047113,LOC112048330,LOC112048866,LOC112048503
LOC112047120,LOC112048342,LOC112048969,LOC112048511
LOC112047134,LOC112048373,LOC112049052,LOC112048517
LOC112047140,LOC112048433,LOC112049061,LOC112048557
LOC112047192,LOC112048477,LOC112049074,LOC112048584
LOC112047220,LOC112048480,LOC112049107,LOC112048640
LOC112047227,LOC112048503,LOC112049111,LOC112048693
LOC112047231,LOC112048533,LOC112049141,LOC112048778
LOC112047257,LOC112048542,LOC112049142,LOC112048780
LOC112047291,LOC112048544,LOC112049170,LOC112048787
LOC112047309,LOC112048594,LOC112049178,LOC112049003
LOC112047321,LOC112048609,LOC112049207,LOC112049052
LOC112047328,LOC112048610,LOC112049214,LOC112049117
LOC112047355,LOC112048640,LOC112049219,LOC112049140
LOC112047356,LOC112048697,LOC112049248,LOC112049151
LOC112047366,LOC112048704,LOC112049286,LOC112049214
LOC112047383,LOC112048717,LOC112049338,LOC112049219
LOC112047386,LOC112048780,LOC112049390,LOC112049338
LOC112047434,LOC112048787,LOC112049399,LOC112049344
LOC112047441,LOC112048826,LOC112049404,LOC112049404
LOC112047449,LOC112048954,LOC112049437,LOC112049412
LOC112047536,LOC112049016,LOC112049443,LOC112049503
LOC112047541,LOC112049052,LOC112049491,LOC112049557
LOC112047612,LOC112049074,LOC112049503,LOC112049613
LOC112047632,LOC112049101,LOC112049548,LOC112049639
LOC112047654,LOC112049111,LOC112049557,LOC112049654
LOC112047738,LOC112049142,LOC112049566,LOC112049701
LOC112047755,LOC112049214,LOC112049569,LOC112049762
LOC112047770,LOC112049226,LOC112049588,LOC112049842
LOC112047793,LOC112049246,LOC112049613,LOC112049870
LOC112047797,LOC112049338,LOC112049619,LOC112049882
LOC112047820,LOC112049344,LOC112049687,LOC112049925
LOC112047879,LOC112049399,LOC112049701,LOC112049929
LOC112047941,LOC112049487,LOC112049719,LOC112049937
LOC112047975,LOC112049491,LOC112049759,LOC112049957
LOC112048014,LOC112049503,LOC112049762,LOC112049969
LOC112048035,LOC112049566,LOC112049790,LOC112049978
LOC112048046,LOC112049586,LOC112049828,LOC112049982
LOC112048068,LOC112049588,LOC112049842,LOC112050021
LOC112048087,LOC112049613,LOC112049870,LOC112050028
LOC112048106,LOC112049614,LOC112049893,LOC112050031
LOC112048127,LOC112049630,LOC112049949,LOC112050121
LOC112048135,LOC112049660,LOC112049969,LOC112050130
LOC112048138,LOC112049684,LOC112049993,LOC112050138
LOC112048140,LOC112049701,LOC112050024,LOC112050155
LOC112048155,LOC112049721,LOC112050044,LOC112050166
LOC112048168,LOC112049759,LOC112050047,LOC112050193
LOC112048171,LOC112049779,LOC112050069,LOC112050209
LOC112048173,LOC112049828,LOC112050084,LOC112050214
LOC112048189,LOC112049842,LOC112050109,LOC112050218
LOC112048194,LOC112049845,LOC112050143,LOC112050253
LOC112048202,LOC112049870,LOC112050193,LOC112050297
LOC112048203,LOC112049876,LOC112050199,LOC112050340
LOC112048213,LOC112049929,LOC112050218,LOC112050343
LOC112048221,LOC112049937,LOC112050231,LOC112050384
LOC112048240,LOC112049949,LOC112050252,LOC112050394
LOC112048256,LOC112049977,LOC112050253,LOC112050405
LOC112048265,LOC112050002,LOC112050295,LOC112050417
LOC112048290,LOC112050003,LOC112050343,LOC112050490
LOC112048371,LOC112050024,LOC112050351,LOC112050534
LOC112048373,LOC112050044,LOC112050384,LOC112050692
LOC112048391,LOC112050048,LOC112050417,LOC112050729
LOC112048410,LOC112050094,LOC112050425,LOC112050746
LOC112048434,LOC112050107,LOC112050431,LOC112050770
LOC112048475,LOC112050114,LOC112050604,LOC112050844
LOC112048503,LOC112050124,LOC112050612,LOC112050847
LOC112048544,LOC112050138,LOC112050648,LOC112050895
LOC112048557,LOC112050199,LOC112050676,LOC112050902
LOC112048594,LOC112050223,LOC112050679,LOC112050929
LOC112048609,LOC112050252,LOC112050705,LOC112050969
LOC112048610,LOC112050340,LOC112050729,LOC112051030
LOC112048640,LOC112050343,LOC112050737,LOC112051088
LOC112048663,LOC112050345,LOC112050770,LOC112051132
LOC112048676,LOC112050384,LOC112050771,LOC112051133
LOC112048693,LOC112050410,LOC112050796,LOC112051164
LOC112048729,LOC112050412,LOC112050816,LOC112051181
LOC112048799,LOC112050417,LOC112050825,LOC112051193
LOC112048805,LOC112050485,LOC112050846,LOC112051208
LOC112048824,LOC112050499,LOC112050878,LOC112051221
LOC112048851,LOC112050519,LOC112050895,LOC112051245
LOC112048859,LOC112050527,LOC112050902,LOC112051285
LOC112049003,LOC112050534,LOC112051008,LOC112051313
LOC112049040,LOC112050679,LOC112051132,LOC112051355
LOC112049086,LOC112050705,LOC112051133,LOC112051357
LOC112049107,LOC112050825,LOC112051137,LOC112051387
LOC112049108,LOC112050847,LOC112051144,LOC112051403
LOC112049138,LOC112050895,LOC112051151,LOC112051407
LOC112049140,LOC112050902,LOC112051233,LOC112051419
LOC112049142,LOC112050969,LOC112051277,LOC112051425
LOC112049214,LOC112050976,LOC112051279,LOC112051494
LOC112049232,LOC112051020,LOC112051314,LOC112051509
LOC112049246,LOC112051026,LOC112051355,LOC112051523
LOC112049250,LOC112051066,LOC112051357,LOC112051535
LOC112049272,LOC112051132,LOC112051364,LOC112051539
LOC112049294,LOC112051154,LOC112051380,LOC112051555
LOC112049338,LOC112051164,LOC112051386,LOC112051573
LOC112049364,LOC112051181,LOC112051387,LOC112051627
LOC112049404,LOC112051191,LOC112051407,LOC112051684
LOC112049487,LOC112051208,LOC112051409,LOC112051691
LOC112049557,LOC112051221,LOC112051410,LOC112051744
LOC112049566,LOC112051234,LOC112051425,LOC112051765
LOC112049586,LOC112051272,LOC112051433,LOC112051796
LOC112049588,LOC112051279,LOC112051453,LOC112051862
LOC112049613,LOC112051327,LOC112051465,LOC112051874
LOC112049622,LOC112051357,LOC112051468,LOC112051879
LOC112049632,LOC112051386,LOC112051523,LOC112051923
LOC112049645,LOC112051407,LOC112051554,LOC112052001
LOC112049660,LOC112051433,LOC112051626,LOC112052019
LOC112049684,LOC112051454,LOC112051627,LOC112052042
LOC112049701,LOC112051494,LOC112051684,LOC112052043
LOC112049842,LOC112051506,LOC112051691,LOC112052058
LOC112049870,LOC112051523,LOC112051719,LOC112052082
