Wr60,PP50,P15,P50
LOC112053614,LOC112057294,LOC112056518,LOC112058416
LOC112053720,LOC112057672,LOC112056544,LOC112058435
LOC112053737,LOC112057718,LOC112056560,LOC112058472
LOC112053743,LOC112057725,LOC112056672,LOC112058474
LOC112053745,LOC112057727,LOC112056683,LOC112058517
LOC112053752,LOC112057754,LOC112056691,LOC112058518
LOC112053753,LOC112057756,LOC112056714,LOC112058523
LOC112053860,LOC112057904,LOC112056771,LOC112058542
LOC112053862,LOC112058060,LOC112056791,LOC112058550
LOC112053871,LOC112058076,LOC112056812,LOC112058567
LOC112053895,LOC112058078,LOC112056815,LOC112058572
LOC112053897,LOC112058090,LOC112056837,LOC112058573
LOC112053899,LOC112058150,LOC112056839,LOC112058574
LOC112053903,LOC112058156,LOC112056840,LOC112058593
LOC112053917,LOC112058170,LOC112057136,seudogene-24
LOC112053921,LOC112058172,LOC112057165,LOC112043083
LOC112053935,LOC112058174,LOC112057549,LOC112043130
LOC112054035,LOC112058207,LOC112057669,LOC112043199
LOC112054077,LOC112058208,LOC112057672,LOC112043536
LOC112054078,LOC112058245,LOC112057680,LOC112043848
LOC112054150,LOC112058257,LOC112057688,LOC112043870
LOC112054178,LOC112058271,LOC112057694,LOC112044305
LOC112054183,LOC112058277,LOC112057700,LOC112044397
LOC112054210,LOC112058367,LOC112057718,LOC112044457
LOC112054217,LOC112058378,LOC112057752,LOC112044953
LOC112054224,LOC112058415,LOC112057757,LOC112045388
LOC112054227,LOC112058418,LOC112057803,LOC112045908
LOC112054260,LOC112058421,LOC112057842,LOC112046090
LOC112054302,LOC112058428,LOC112057881,LOC112046139
LOC112054303,LOC112058432,LOC112057884,LOC112046205
LOC112054332,LOC112058449,LOC112057891,LOC112046332
LOC112054344,LOC112058474,LOC112057906,LOC112046641
LOC112054403,LOC112058518,LOC112057963,LOC112046662
LOC112054442,LOC112058541,LOC112057979,LOC112046847
LOC112054444,LOC112058542,LOC112057983,LOC112047010
LOC112054469,LOC112058550,LOC112058011,LOC112047276
LOC112054475,LOC112058572,LOC112058024,LOC112047544
LOC112054517,LOC112058574,LOC112058078,LOC112048033
LOC112054531,LOC112058605,LOC112058090,LOC112048171
LOC112054543,LOC112043032,LOC112058105,LOC112048433
LOC112054571,LOC112043130,LOC112058144,LOC112048544
LOC112054590,LOC112043162,LOC112058150,LOC112049026
LOC112054591,LOC112043428,LOC112058154,LOC112049156
LOC112054615,LOC112043601,LOC112058156,LOC112049771
LOC112054617,LOC112044316,LOC112058180,LOC112050044
LOC112054620,LOC112044735,LOC112058277,LOC112050345
LOC112054621,LOC112044870,LOC112058313,LOC112050431
LOC112054660,LOC112045373,LOC112058326,LOC112050643
LOC112054727,LOC112045408,LOC112058369,LOC112050737
LOC112054789,LOC112045793,LOC112058378,LOC112051042
LOC112054798,LOC112045861,LOC112058428,LOC112051559
LOC112054836,LOC112046289,LOC112058466,LOC112051927
LOC112054858,LOC112046641,LOC112058474,LOC112052063
LOC112054862,LOC112046859,LOC112058494,LOC112052101
LOC112054900,LOC112047010,LOC112058539,LOC112052389
LOC112054954,LOC112047079,LOC112058550,LOC112052398
LOC112055014,LOC112047227,LOC112058572,LOC112052630
LOC112055035,LOC112047845,LOC112043130,LOC112052663
LOC112055036,LOC112048033,LOC112043332,LOC112053160
LOC112055070,LOC112048422,LOC112043493,LOC112053282
LOC112055104,LOC112048712,LOC112043601,LOC112053485
LOC112055132,LOC112048791,LOC112043721,LOC112053698
LOC112055154,LOC112048968,LOC112043832,LOC112053743
LOC112055201,LOC112049156,LOC112043930,LOC112054105
LOC112055203,LOC112049175,LOC112043976,LOC112054183
LOC112055216,LOC112049356,LOC112044087,LOC112054291
LOC112055226,LOC112049395,LOC112044712,LOC112054332
LOC112055257,LOC112049619,LOC112045035,LOC112054455
LOC112055277,LOC112049885,LOC112045056,LOC112054492
LOC112055285,LOC112050088,LOC112045911,LOC112054527
LOC112055295,LOC112050303,LOC112046228,LOC112054660
LOC112055319,LOC112050507,LOC112046468,LOC112054721
LOC112055365,LOC112051042,LOC112046626,LOC112054986
LOC112055376,LOC112051472,LOC112047056,LOC112055258
LOC112055387,LOC112051508,LOC112047120,LOC112055277
LOC112055393,LOC112052088,LOC112047231,LOC112055365
LOC112055407,LOC112052118,LOC112047372,LOC112055679
LOC112055427,LOC112052189,LOC112047487,LOC112055873
LOC112055428,LOC112052389,LOC112048194,LOC112056122
LOC112055487,LOC112052436,LOC112048805,LOC112056124
LOC112055491,LOC112052630,LOC112049212,LOC112056134
LOC112055522,LOC112052663,LOC112049382,LOC112056516
LOC112055545,LOC112053030,LOC112050146,LOC112056771
LOC112055556,LOC112053401,LOC112050788,LOC112056804
LOC112055597,LOC112053743,LOC112050999,LOC112056842
LOC112055642,LOC112053819,LOC112051042,LOC112057717
LOC112055679,LOC112053836,LOC112051559,LOC112057939
LOC112055685,LOC112054660,LOC112051732,LOC112058316
LOC112055738,LOC112055789,LOC112052128,LOC112058544
LOC112055794,LOC112055953,LOC112052130,LOC112043538
LOC112055797,LOC112056064,LOC112052191,LOC112049567
LOC112055815,LOC112056418,LOC112052328,LOC112051496
LOC112055816,LOC112056771,LOC112052463,LOC112053811
LOC112055826,LOC112056842,LOC112052630,LOC112055942
LOC112055842,LOC112057407,LOC112053362,LOC112056365
LOC112055865,LOC112057654,LOC112053451,LOC112045889
LOC112055942,LOC112057970,LOC112054011,LOC112046069
LOC112055952,LOC112058326,LOC112054291,LOC112046344
LOC112055976,LOC112058385,LOC112054719,LOC112048310
LOC112055983,LOC112058414,LOC112054721,LOC112048805
LOC112055985,LOC112058469,LOC112054785,LOC112049040
LOC112055990,LOC112043538,LOC112054846,LOC112049318
LOC112055996,LOC112045364,LOC112054942,LOC112051066
LOC112056038,LOC112050806,LOC112055679,LOC112052118
LOC112056045,LOC112051948,LOC112055733,LOC112053529
LOC112056068,LOC112058532,LOC112055953,LOC112054350
LOC112056072,LOC112043606,LOC112056194,LOC112055333
LOC112056098,LOC112048341,LOC112056425,LOC112057891
LOC112056122,LOC112048557,LOC112056842,
LOC112056134,LOC112049040,LOC112057889,
LOC112056170,LOC112051314,LOC112057939,
LOC112056174,LOC112054036,LOC112058414,
LOC112056176,LOC112054469,LOC112045889,
LOC112056296,LOC112056426,LOC112049495,
LOC112056309,LOC112058272,LOC112049567,
LOC112056345,seudogene-47,LOC112050922,
LOC112056402,LOC112051364,LOC112053186,
LOC112056426,LOC112055925,LOC112054492,
LOC112056436,,LOC112054851,
LOC112056445,,LOC112055008,
LOC112056453,,LOC112058532,
LOC112056467,,LOC112043606,
LOC112056476,,LOC112047884,
LOC112056528,,LOC112049745,
LOC112056560,,LOC112050031,
LOC112056585,,LOC112051376,
LOC112056645,,LOC112052860,
LOC112056653,,LOC112055066,
LOC112056673,,LOC112057184,
LOC112056674,,LOC112058469,
LOC112056714,,,
LOC112056771,,,
LOC112056782,,,
LOC112056790,,,
LOC112056791,,,
LOC112056801,,,
LOC112056804,,,
LOC112056839,,,
LOC112056840,,,
LOC112056845,,,
LOC112056907,,,
LOC112056947,,,
LOC112057000,,,
LOC112057021,,,
LOC112057144,,,
LOC112057214,,,
LOC112057407,,,
LOC112057417,,,
LOC112057423,,,
LOC112057456,,,
LOC112057669,,,
LOC112057672,,,
LOC112057702,,,
LOC112057717,,,
LOC112057718,,,
LOC112057725,,,
LOC112057756,,,
LOC112057788,,,
LOC112057834,,,
LOC112057881,,,
LOC112057884,,,
LOC112057890,,,
LOC112057891,,,
LOC112057904,,,
LOC112057975,,,
LOC112057979,,,
LOC112057996,,,
LOC112058001,,,
LOC112058007,,,
LOC112058009,,,
LOC112058011,,,
LOC112058090,,,
LOC112058150,,,
LOC112058156,,,
LOC112058158,,,
LOC112058170,,,
LOC112058236,,,
LOC112058238,,,
LOC112058240,,,
LOC112058255,,,
LOC112058257,,,
LOC112058269,,,
LOC112058277,,,
LOC112058280,,,
LOC112058281,,,
LOC112058302,,,
LOC112058310,,,
LOC112058326,,,
LOC112058352,,,
LOC112058378,,,
LOC112058415,,,
LOC112058416,,,
LOC112058428,,,
LOC112058435,,,
LOC112058449,,,
LOC112058466,,,
LOC112058474,,,
LOC112058539,,,
LOC112058542,,,
LOC112058550,,,
LOC112058557,,,
LOC112058572,,,
LOC112058574,,,
LOC112058593,,,
LOC112058605,,,
LOC112058620,,,
seudogene-15,,,
seudogene-24,,,
LOC112043674,,,
LOC112043913,,,
LOC112043976,,,
LOC112044088,,,
LOC112044410,,,
LOC112044533,,,
LOC112044790,,,
LOC112044919,,,
LOC112044972,,,
LOC112045808,,,
LOC112045908,,,
LOC112045940,,,
LOC112045944,,,
LOC112046335,,,
LOC112046487,,,
LOC112046822,,,
LOC112047056,,,
LOC112047079,,,
LOC112047122,,,
LOC112047414,,,
LOC112047418,,,
LOC112047596,,,
LOC112047806,,,
LOC112048459,,,
LOC112048710,,,
LOC112048968,,,
LOC112049156,,,
LOC112049271,,,
LOC112049395,,,
LOC112049503,,,
LOC112049885,,,
LOC112049997,,,
LOC112050059,,,
LOC112050646,,,
LOC112050805,,,
LOC112050999,,,
LOC112051026,,,
LOC112051042,,,
LOC112051154,,,
LOC112051286,,,
LOC112051802,,,
LOC112051948,,,
LOC112051988,,,
LOC112052131,,,
LOC112052630,,,
LOC112052663,,,
LOC112053070,,,
LOC112053106,,,
LOC112053247,,,
LOC112053523,,,
LOC112053845,,,
LOC112054017,,,
LOC112054036,,,
LOC112054064,,,
LOC112054067,,,
LOC112054236,,,
LOC112054275,,,
LOC112054291,,,
LOC112054814,,,
LOC112055066,,,
LOC112055129,,,
LOC112055223,,,
LOC112055925,,,
LOC112055953,,,
LOC112055967,,,
LOC112056194,,,
LOC112056660,,,
LOC112056842,,,
LOC112056852,,,
LOC112057301,,,
LOC112057705,,,
LOC112044457,,,
LOC112045364,,,
LOC112048712,,,
LOC112049495,,,
LOC112054455,,,
LOC112056125,,,
LOC112057887,,,
LOC112058532,,,
LOC112044261,,,
LOC112046254,,,
LOC112047286,,,
LOC112048263,,,
LOC112049745,,,
LOC112051066,,,
LOC112056668,,,
LOC112057706,,,
LOC112058469,,,
LOC112055681,,,
